partido,partido_id
Movimiento Amplio Social (MAS),38
Poder,37
Partido Izquierda Ciudadana de Chile,36
Partido de Trabajadores Revolucionarios,35
Federacion Regionalista Verde Social,34
Ciudadanos,33
Todos,32
Evopoli,31
Partido Pais,30
Wallmapuwen,29
Union Patriotica,28
Unidos Resulta en Democracia (URD),27
Somos Aysen,26
Revolucion Democratica,25
Partido Poder Ciudadano,24
Partido Regionalista Independiente (PRI),23
Partido Regionalista de Magallanes (PRM),22
Partido Frente Popular (PFP),21
Movimiento Independiente Regionalista Agrario y Social (MIRAS),20
Fuerza Regional Norte Verde (FRNV),19
Frente Regional y Popular (FREP),18
Democracia Regional Patagonica,17
Amplitud,16
Partido Liberal de Chile (PL),15
MAS Region (MAS Region),14
Partido Ecologista Verde (PEV),13
Partido Igualdad (PI),12
Partido por la Democracia (PPD),11
Partido Socialista de Chile (PS),10
Partido Democrata Cristiano (PDC),9
Independientes (IND),8
Renovacion Nacional (RN),7
Union Democrata Independiente (UDI),6
Partido Progresista (PRO),5
Partido Humanista (PH),4
Partido Regionalista de los Independientes (PRI),3
Partido Radical Socialdemocrata (PRSD),2
Partido Comunista de Chile (PCCh),1
NaN,0
